2021-08-04 19:00:59 startup archives install
2021-08-04 19:01:11 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2021-08-04 19:01:11 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2021-08-04 19:01:11 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2021-08-04 19:01:11 status half-configured initscripts:amd64 2.88dsf-59.3ubuntu2
2021-08-04 19:01:11 status installed initscripts:amd64 2.88dsf-59.3ubuntu2
2021-08-04 19:01:11 configure util-linux:amd64 2.27.1-6ubuntu3 <none>
2021-08-04 19:01:11 status unpacked util-linux:amd64 2.27.1-6ubuntu3
2021-08-04 19:01:11 status unpacked util-linux:amd64 2.27.1-6ubuntu3
2021-08-04 19:01:11 status unpacked util-linux:amd64 2.27.1-6ubuntu3
2021-08-04 19:01:11 status unpacked util-linux:amd64 2.27.1-6ubuntu3
2021-08-04 19:01:11 status unpacked util-linux:amd64 2.27.1-6ubuntu3
2021-08-04 19:01:11 status unpacked util-linux:amd64 2.27.1-6ubuntu3
2021-08-04 19:01:11 status unpacked util-linux:amd64 2.27.1-6ubuntu3
2021-08-04 19:01:11 status unpacked util-linux:amd64 2.27.1-6ubuntu3
2021-08-04 19:01:11 status half-configured util-linux:amd64 2.27.1-6ubuntu3
2021-08-04 19:01:11 status installed util-linux:amd64 2.27.1-6ubuntu3
2021-08-04 19:01:11 configure e2fsprogs:amd64 1.42.13-1ubuntu1 <none>
2021-08-04 19:01:11 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:11 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:11 status half-configured e2fsprogs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:11 status installed e2fsprogs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:11 configure procps:amd64 2:3.3.10-4ubuntu2 <none>
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status unpacked procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status half-configured procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 status installed procps:amd64 2:3.3.10-4ubuntu2
2021-08-04 19:01:11 configure systemd:amd64 229-4ubuntu4 <none>
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status unpacked systemd:amd64 229-4ubuntu4
2021-08-04 19:01:11 status half-configured systemd:amd64 229-4ubuntu4
2021-08-04 19:01:12 status installed systemd:amd64 229-4ubuntu4
2021-08-04 19:01:12 configure systemd-sysv:amd64 229-4ubuntu4 <none>
2021-08-04 19:01:12 status unpacked systemd-sysv:amd64 229-4ubuntu4
2021-08-04 19:01:12 status half-configured systemd-sysv:amd64 229-4ubuntu4
2021-08-04 19:01:12 status installed systemd-sysv:amd64 229-4ubuntu4
2021-08-04 19:01:12 configure init:amd64 1.29ubuntu1 <none>
2021-08-04 19:01:12 status unpacked init:amd64 1.29ubuntu1
2021-08-04 19:01:12 status half-configured init:amd64 1.29ubuntu1
2021-08-04 19:01:12 status installed init:amd64 1.29ubuntu1
2021-08-04 19:01:12 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2021-08-04 19:01:12 status half-configured libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:12 status installed libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:12 startup archives unpack
2021-08-04 19:01:12 install apt:amd64 <none> 1.2.10ubuntu1
2021-08-04 19:01:12 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:12 status half-installed apt:amd64 1.2.10ubuntu1
2021-08-04 19:01:12 status unpacked apt:amd64 1.2.10ubuntu1
2021-08-04 19:01:12 status unpacked apt:amd64 1.2.10ubuntu1
2021-08-04 19:01:12 install gcc-5-base:amd64 <none> 5.3.1-14ubuntu2
2021-08-04 19:01:12 status half-installed gcc-5-base:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:12 status unpacked gcc-5-base:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:12 status unpacked gcc-5-base:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:12 install gnupg:amd64 <none> 1.4.20-1ubuntu3
2021-08-04 19:01:12 status half-installed gnupg:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:12 status unpacked gnupg:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:12 status unpacked gnupg:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:12 install gpgv:amd64 <none> 1.4.20-1ubuntu3
2021-08-04 19:01:12 status half-installed gpgv:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:12 status unpacked gpgv:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:12 status unpacked gpgv:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:12 install libapt-pkg5.0:amd64 <none> 1.2.10ubuntu1
2021-08-04 19:01:12 status half-installed libapt-pkg5.0:amd64 1.2.10ubuntu1
2021-08-04 19:01:12 status unpacked libapt-pkg5.0:amd64 1.2.10ubuntu1
2021-08-04 19:01:12 status unpacked libapt-pkg5.0:amd64 1.2.10ubuntu1
2021-08-04 19:01:12 install liblz4-1:amd64 <none> 0.0~r131-2ubuntu2
2021-08-04 19:01:12 status half-installed liblz4-1:amd64 0.0~r131-2ubuntu2
2021-08-04 19:01:12 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu2
2021-08-04 19:01:12 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu2
2021-08-04 19:01:12 install libreadline6:amd64 <none> 6.3-8ubuntu2
2021-08-04 19:01:12 status half-installed libreadline6:amd64 6.3-8ubuntu2
2021-08-04 19:01:12 status unpacked libreadline6:amd64 6.3-8ubuntu2
2021-08-04 19:01:12 status unpacked libreadline6:amd64 6.3-8ubuntu2
2021-08-04 19:01:12 install libstdc++6:amd64 <none> 5.3.1-14ubuntu2
2021-08-04 19:01:12 status half-installed libstdc++6:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:12 status unpacked libstdc++6:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:12 status unpacked libstdc++6:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:12 install libusb-0.1-4:amd64 <none> 2:0.1.12-28
2021-08-04 19:01:12 status half-installed libusb-0.1-4:amd64 2:0.1.12-28
2021-08-04 19:01:12 status unpacked libusb-0.1-4:amd64 2:0.1.12-28
2021-08-04 19:01:12 status unpacked libusb-0.1-4:amd64 2:0.1.12-28
2021-08-04 19:01:12 install readline-common:all <none> 6.3-8ubuntu2
2021-08-04 19:01:12 status half-installed readline-common:all 6.3-8ubuntu2
2021-08-04 19:01:12 status unpacked readline-common:all 6.3-8ubuntu2
2021-08-04 19:01:12 status unpacked readline-common:all 6.3-8ubuntu2
2021-08-04 19:01:12 install ubuntu-keyring:all <none> 2012.05.19
2021-08-04 19:01:12 status half-installed ubuntu-keyring:all 2012.05.19
2021-08-04 19:01:12 status unpacked ubuntu-keyring:all 2012.05.19
2021-08-04 19:01:13 status unpacked ubuntu-keyring:all 2012.05.19
2021-08-04 19:01:13 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2021-08-04 19:01:13 status half-configured libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:13 status installed libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:13 startup packages configure
2021-08-04 19:01:13 configure readline-common:all 6.3-8ubuntu2 <none>
2021-08-04 19:01:13 status unpacked readline-common:all 6.3-8ubuntu2
2021-08-04 19:01:13 status half-configured readline-common:all 6.3-8ubuntu2
2021-08-04 19:01:13 status installed readline-common:all 6.3-8ubuntu2
2021-08-04 19:01:13 configure liblz4-1:amd64 0.0~r131-2ubuntu2 <none>
2021-08-04 19:01:13 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:13 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu2
2021-08-04 19:01:13 status half-configured liblz4-1:amd64 0.0~r131-2ubuntu2
2021-08-04 19:01:13 status installed liblz4-1:amd64 0.0~r131-2ubuntu2
2021-08-04 19:01:13 configure gpgv:amd64 1.4.20-1ubuntu3 <none>
2021-08-04 19:01:13 status unpacked gpgv:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:13 status half-configured gpgv:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:13 status installed gpgv:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:13 configure libusb-0.1-4:amd64 2:0.1.12-28 <none>
2021-08-04 19:01:13 status unpacked libusb-0.1-4:amd64 2:0.1.12-28
2021-08-04 19:01:13 status half-configured libusb-0.1-4:amd64 2:0.1.12-28
2021-08-04 19:01:13 status installed libusb-0.1-4:amd64 2:0.1.12-28
2021-08-04 19:01:13 configure ubuntu-keyring:all 2012.05.19 <none>
2021-08-04 19:01:13 status unpacked ubuntu-keyring:all 2012.05.19
2021-08-04 19:01:13 status half-configured ubuntu-keyring:all 2012.05.19
2021-08-04 19:01:13 status installed ubuntu-keyring:all 2012.05.19
2021-08-04 19:01:13 configure libreadline6:amd64 6.3-8ubuntu2 <none>
2021-08-04 19:01:13 status unpacked libreadline6:amd64 6.3-8ubuntu2
2021-08-04 19:01:13 status half-configured libreadline6:amd64 6.3-8ubuntu2
2021-08-04 19:01:13 status installed libreadline6:amd64 6.3-8ubuntu2
2021-08-04 19:01:13 configure gcc-5-base:amd64 5.3.1-14ubuntu2 <none>
2021-08-04 19:01:13 status unpacked gcc-5-base:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:13 status half-configured gcc-5-base:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:13 status installed gcc-5-base:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:13 configure gnupg:amd64 1.4.20-1ubuntu3 <none>
2021-08-04 19:01:13 status unpacked gnupg:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:13 status half-configured gnupg:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:13 status installed gnupg:amd64 1.4.20-1ubuntu3
2021-08-04 19:01:13 configure libstdc++6:amd64 5.3.1-14ubuntu2 <none>
2021-08-04 19:01:13 status unpacked libstdc++6:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:13 status half-configured libstdc++6:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:13 status installed libstdc++6:amd64 5.3.1-14ubuntu2
2021-08-04 19:01:13 configure libapt-pkg5.0:amd64 1.2.10ubuntu1 <none>
2021-08-04 19:01:13 status unpacked libapt-pkg5.0:amd64 1.2.10ubuntu1
2021-08-04 19:01:13 status half-configured libapt-pkg5.0:amd64 1.2.10ubuntu1
2021-08-04 19:01:13 status installed libapt-pkg5.0:amd64 1.2.10ubuntu1
2021-08-04 19:01:13 configure apt:amd64 1.2.10ubuntu1 <none>
2021-08-04 19:01:13 status unpacked apt:amd64 1.2.10ubuntu1
2021-08-04 19:01:13 status unpacked apt:amd64 1.2.10ubuntu1
2021-08-04 19:01:13 status unpacked apt:amd64 1.2.10ubuntu1
2021-08-04 19:01:13 status unpacked apt:amd64 1.2.10ubuntu1
2021-08-04 19:01:13 status unpacked apt:amd64 1.2.10ubuntu1
2021-08-04 19:01:13 status unpacked apt:amd64 1.2.10ubuntu1
2021-08-04 19:01:13 status half-configured apt:amd64 1.2.10ubuntu1
2021-08-04 19:01:13 status installed apt:amd64 1.2.10ubuntu1
2021-08-04 19:01:13 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2021-08-04 19:01:13 status half-configured libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:13 status installed libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:23 startup packages purge
2021-08-04 19:01:23 status installed locales:all 2.23-0ubuntu3
2021-08-04 19:01:23 remove locales:all 2.23-0ubuntu3 <none>
2021-08-04 19:01:23 status half-configured locales:all 2.23-0ubuntu3
2021-08-04 19:01:23 status half-installed locales:all 2.23-0ubuntu3
2021-08-04 19:01:23 status config-files locales:all 2.23-0ubuntu3
2021-08-04 19:01:23 purge locales:all 2.23-0ubuntu3 <none>
2021-08-04 19:01:23 status config-files locales:all 2.23-0ubuntu3
2021-08-04 19:01:23 status config-files locales:all 2.23-0ubuntu3
2021-08-04 19:01:23 status config-files locales:all 2.23-0ubuntu3
2021-08-04 19:01:23 status config-files locales:all 2.23-0ubuntu3
2021-08-04 19:01:23 status config-files locales:all 2.23-0ubuntu3
2021-08-04 19:01:23 status not-installed locales:all <none>
2021-08-04 19:01:23 status installed tzdata:all 2016d-0ubuntu0.16.04
2021-08-04 19:01:23 remove tzdata:all 2016d-0ubuntu0.16.04 <none>
2021-08-04 19:01:23 status half-configured tzdata:all 2016d-0ubuntu0.16.04
2021-08-04 19:01:23 status half-installed tzdata:all 2016d-0ubuntu0.16.04
2021-08-04 19:01:23 status config-files tzdata:all 2016d-0ubuntu0.16.04
2021-08-04 19:01:23 purge tzdata:all 2016d-0ubuntu0.16.04 <none>
2021-08-04 19:01:23 status config-files tzdata:all 2016d-0ubuntu0.16.04
2021-08-04 19:01:23 status config-files tzdata:all 2016d-0ubuntu0.16.04
2021-08-04 19:01:23 status config-files tzdata:all 2016d-0ubuntu0.16.04
2021-08-04 19:01:23 status config-files tzdata:all 2016d-0ubuntu0.16.04
2021-08-04 19:01:23 status config-files tzdata:all 2016d-0ubuntu0.16.04
2021-08-04 19:01:23 status not-installed tzdata:all <none>
2021-08-04 19:01:27 startup archives unpack
2021-08-04 19:01:27 upgrade ubuntu-keyring:all 2012.05.19 2012.05.19.1
2021-08-04 19:01:27 status half-configured ubuntu-keyring:all 2012.05.19
2021-08-04 19:01:27 status unpacked ubuntu-keyring:all 2012.05.19
2021-08-04 19:01:27 status half-installed ubuntu-keyring:all 2012.05.19
2021-08-04 19:01:27 status half-installed ubuntu-keyring:all 2012.05.19
2021-08-04 19:01:27 status unpacked ubuntu-keyring:all 2012.05.19.1
2021-08-04 19:01:27 status unpacked ubuntu-keyring:all 2012.05.19.1
2021-08-04 19:01:27 startup packages configure
2021-08-04 19:01:27 configure ubuntu-keyring:all 2012.05.19.1 <none>
2021-08-04 19:01:27 status unpacked ubuntu-keyring:all 2012.05.19.1
2021-08-04 19:01:27 status half-configured ubuntu-keyring:all 2012.05.19.1
2021-08-04 19:01:27 status installed ubuntu-keyring:all 2012.05.19.1
2021-08-04 19:01:27 startup packages configure
2021-08-04 19:01:29 startup archives unpack
2021-08-04 19:01:29 upgrade base-files:amd64 9.4ubuntu4 9.4ubuntu4.13
2021-08-04 19:01:29 status half-configured base-files:amd64 9.4ubuntu4
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4
2021-08-04 19:01:29 status half-installed base-files:amd64 9.4ubuntu4
2021-08-04 19:01:29 status half-installed base-files:amd64 9.4ubuntu4
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 startup packages configure
2021-08-04 19:01:29 configure base-files:amd64 9.4ubuntu4.13 <none>
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status unpacked base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status half-configured base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 status installed base-files:amd64 9.4ubuntu4.13
2021-08-04 19:01:29 startup archives unpack
2021-08-04 19:01:29 upgrade bash:amd64 4.3-14ubuntu1 4.3-14ubuntu1.4
2021-08-04 19:01:29 status half-configured bash:amd64 4.3-14ubuntu1
2021-08-04 19:01:29 status unpacked bash:amd64 4.3-14ubuntu1
2021-08-04 19:01:29 status half-installed bash:amd64 4.3-14ubuntu1
2021-08-04 19:01:29 status half-installed bash:amd64 4.3-14ubuntu1
2021-08-04 19:01:29 status unpacked bash:amd64 4.3-14ubuntu1.4
2021-08-04 19:01:29 status unpacked bash:amd64 4.3-14ubuntu1.4
2021-08-04 19:01:29 startup packages configure
2021-08-04 19:01:29 configure bash:amd64 4.3-14ubuntu1.4 <none>
2021-08-04 19:01:29 status unpacked bash:amd64 4.3-14ubuntu1.4
2021-08-04 19:01:29 status unpacked bash:amd64 4.3-14ubuntu1.4
2021-08-04 19:01:29 status unpacked bash:amd64 4.3-14ubuntu1.4
2021-08-04 19:01:29 status unpacked bash:amd64 4.3-14ubuntu1.4
2021-08-04 19:01:29 status unpacked bash:amd64 4.3-14ubuntu1.4
2021-08-04 19:01:29 status half-configured bash:amd64 4.3-14ubuntu1.4
2021-08-04 19:01:29 status installed bash:amd64 4.3-14ubuntu1.4
2021-08-04 19:01:29 startup archives unpack
2021-08-04 19:01:30 upgrade bsdutils:amd64 1:2.27.1-6ubuntu3 1:2.27.1-6ubuntu3.10
2021-08-04 19:01:30 status half-configured bsdutils:amd64 1:2.27.1-6ubuntu3
2021-08-04 19:01:30 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2021-08-04 19:01:30 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3
2021-08-04 19:01:30 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3
2021-08-04 19:01:30 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3.10
2021-08-04 19:01:30 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3.10
2021-08-04 19:01:30 startup packages configure
2021-08-04 19:01:30 configure bsdutils:amd64 1:2.27.1-6ubuntu3.10 <none>
2021-08-04 19:01:30 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3.10
2021-08-04 19:01:30 status half-configured bsdutils:amd64 1:2.27.1-6ubuntu3.10
2021-08-04 19:01:30 status installed bsdutils:amd64 1:2.27.1-6ubuntu3.10
2021-08-04 19:01:30 startup archives unpack
2021-08-04 19:01:30 upgrade coreutils:amd64 8.25-2ubuntu2 8.25-2ubuntu3~16.04
2021-08-04 19:01:30 status half-configured coreutils:amd64 8.25-2ubuntu2
2021-08-04 19:01:30 status unpacked coreutils:amd64 8.25-2ubuntu2
2021-08-04 19:01:30 status half-installed coreutils:amd64 8.25-2ubuntu2
2021-08-04 19:01:30 status half-installed coreutils:amd64 8.25-2ubuntu2
2021-08-04 19:01:30 status unpacked coreutils:amd64 8.25-2ubuntu3~16.04
2021-08-04 19:01:30 status unpacked coreutils:amd64 8.25-2ubuntu3~16.04
2021-08-04 19:01:30 startup packages configure
2021-08-04 19:01:30 configure coreutils:amd64 8.25-2ubuntu3~16.04 <none>
2021-08-04 19:01:30 status unpacked coreutils:amd64 8.25-2ubuntu3~16.04
2021-08-04 19:01:30 status half-configured coreutils:amd64 8.25-2ubuntu3~16.04
2021-08-04 19:01:30 status installed coreutils:amd64 8.25-2ubuntu3~16.04
2021-08-04 19:01:30 startup archives unpack
2021-08-04 19:01:30 upgrade libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu11.3
2021-08-04 19:01:30 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 status half-configured libc6:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 status unpacked libc6:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 status half-installed libc6:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 status half-installed libc6:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 status unpacked libc6:amd64 2.23-0ubuntu11.3
2021-08-04 19:01:30 status unpacked libc6:amd64 2.23-0ubuntu11.3
2021-08-04 19:01:30 startup packages configure
2021-08-04 19:01:30 configure libc6:amd64 2.23-0ubuntu11.3 <none>
2021-08-04 19:01:30 status unpacked libc6:amd64 2.23-0ubuntu11.3
2021-08-04 19:01:30 status unpacked libc6:amd64 2.23-0ubuntu11.3
2021-08-04 19:01:30 status half-configured libc6:amd64 2.23-0ubuntu11.3
2021-08-04 19:01:30 status installed libc6:amd64 2.23-0ubuntu11.3
2021-08-04 19:01:30 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2021-08-04 19:01:30 status half-configured libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 status installed libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 startup archives unpack
2021-08-04 19:01:30 upgrade e2fslibs:amd64 1.42.13-1ubuntu1 1.42.13-1ubuntu1.2
2021-08-04 19:01:30 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 status half-configured e2fslibs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:30 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:30 status half-installed e2fslibs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:30 status half-installed e2fslibs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:30 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1.2
2021-08-04 19:01:30 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1.2
2021-08-04 19:01:30 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2021-08-04 19:01:30 status half-configured libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 status installed libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 startup packages configure
2021-08-04 19:01:30 configure e2fslibs:amd64 1.42.13-1ubuntu1.2 <none>
2021-08-04 19:01:30 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1.2
2021-08-04 19:01:30 status half-configured e2fslibs:amd64 1.42.13-1ubuntu1.2
2021-08-04 19:01:30 status installed e2fslibs:amd64 1.42.13-1ubuntu1.2
2021-08-04 19:01:30 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2021-08-04 19:01:30 status half-configured libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 status installed libc-bin:amd64 2.23-0ubuntu3
2021-08-04 19:01:30 startup archives unpack
2021-08-04 19:01:30 upgrade e2fsprogs:amd64 1.42.13-1ubuntu1 1.42.13-1ubuntu1.2
2021-08-04 19:01:30 status half-configured e2fsprogs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:30 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:31 status half-installed e2fsprogs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:31 status half-installed e2fsprogs:amd64 1.42.13-1ubuntu1
2021-08-04 19:01:31 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1.2
2021-08-04 19:01:31 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1.2
2021-08-04 19:01:31 startup packages configure
2021-08-04 19:01:31 configure e2fsprogs:amd64 1.42.13-1ubuntu1.2 <none>
2021-08-04 19:01:31 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1.2
2021-08-04 19:01:31 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1.2
2021-08-04 19:01:31 status half-configured e2fsprogs:amd64 1.42.13-1ubuntu1.2
2021-08-04 19:01:31 status installed e2fsprogs:amd64 1.42.13-1ubuntu1.2
2021-08-04 19:01:31 startup archives unpack
2021-08-04 19:01:31 upgrade grep:amd64 2.24-1 2.25-1~16.04.1
2021-08-04 19:01:31 status half-configured grep:amd64 2.24-1
2021-08-04 19:01:31 status unpacked grep:amd64 2.24-1
2021-08-04 19:01:31 status half-installed grep:amd64 2.24-1
2021-08-04 19:01:31 status half-installed grep:amd64 2.24-1
2021-08-04 19:01:31 status unpacked grep:amd64 2.25-1~16.04.1
2021-08-04 19:01:31 status unpacked grep:amd64 2.25-1~16.04.1
2021-08-04 19:01:31 startup packages configure
2021-08-04 19:01:31 configure grep:amd64 2.25-1~16.04.1 <none>
2021-08-04 19:01:31 status unpacked grep:amd64 2.25-1~16.04.1
2021-08-04 19:01:31 status half-configured grep:amd64 2.25-1~16.04.1
2021-08-04 19:01:31 status installed grep:amd64 2.25-1~16.04.1
2021-08-04 19:01:31 startup archives unpack
2021-08-04 19:01:31 upgrade perl-base:amd64 5.22.1-9 5.22.1-9ubuntu0.9
2021-08-04 19:01:31 status half-configured perl-base:amd64 5.22.1-9
2021-08-04 19:01:31 status unpacked perl-base:amd64 5.22.1-9
2021-08-04 19:01:31 status half-installed perl-base:amd64 5.22.1-9
2021-08-04 19:01:31 status half-installed perl-base:amd64 5.22.1-9
2021-08-04 19:01:31 status unpacked perl-base:amd64 5.22.1-9ubuntu0.9
2021-08-04 19:01:31 status unpacked perl-base:amd64 5.22.1-9ubuntu0.9
2021-08-04 19:01:31 startup packages configure
2021-08-04 19:01:31 configure perl-base:amd64 5.22.1-9ubuntu0.9 <none>
2021-08-04 19:01:31 status unpacked perl-base:amd64 5.22.1-9ubuntu0.9
2021-08-04 19:01:31 status half-configured perl-base:amd64 5.22.1-9ubuntu0.9
2021-08-04 19:01:31 status installed perl-base:amd64 5.22.1-9ubuntu0.9
2021-08-04 19:01:31 startup archives unpack
2021-08-04 19:01:31 upgrade init-system-helpers:all 1.29ubuntu1 1.29ubuntu4
2021-08-04 19:01:31 status half-configured init-system-helpers:all 1.29ubuntu1
